学校,地区,专业方向,导师,推荐建议
飞海科技网络有限公司大学,天津,智能控制,陶教授,课题方向契合国家战略，发展前景好
佳禾科技有限公司大学,北京,绿色建筑设计,王教授,科研氛围浓厚，适合深入发展
联软网络有限公司大学,哈尔滨,建筑通风系统设计,赵教授,实验资源丰富，重视实践能力
惠派国际公司传媒有限公司大学,重庆,绿色建筑设计,高教授,科研氛围浓厚，适合深入发展
合联电子传媒有限公司大学,广州,暖通系统仿真,刘教授,科研氛围浓厚，适合深入发展
创联世纪信息有限公司大学,重庆,建筑设备与自动化,夏教授,实验资源丰富，重视实践能力
恩悌传媒有限公司大学,哈尔滨,热舒适研究,周教授,实验资源丰富，重视实践能力
商软冠联信息有限公司大学,武汉,可再生能源建筑应用,陈教授,科研氛围浓厚，适合深入发展
迪摩科技有限公司大学,沈阳,智能控制,吕教授,适合从事建筑节能与智能化研究
四通网络有限公司大学,广州,热舒适研究,陈教授,课题方向契合国家战略，发展前景好
银嘉信息有限公司大学,沈阳,绿色建筑设计,黄教授,科研氛围浓厚，适合深入发展
开发区世创信息有限公司大学,北京,暖通系统仿真,周教授,科研氛围浓厚，适合深入发展
联软科技有限公司大学,哈尔滨,绿色建筑设计,张教授,课题方向契合国家战略，发展前景好
和泰传媒有限公司大学,重庆,智能控制,金教授,课题方向契合国家战略，发展前景好
通际名联科技有限公司大学,重庆,建筑节能,张教授,实验资源丰富，重视实践能力
恒聪百汇传媒有限公司大学,北京,建筑节能,张教授,课题方向契合国家战略，发展前景好
数字100网络有限公司大学,北京,碳中和技术,唐教授,科研氛围浓厚，适合深入发展
昂歌信息网络有限公司大学,北京,建筑环境与能源应用工程,张教授,科研氛围浓厚，适合深入发展
商软冠联科技有限公司大学,天津,建筑通风系统设计,秦教授,导师指导细致，团队合作密切
诺依曼软件信息有限公司大学,成都,绿色建筑设计,张教授,课题方向契合国家战略，发展前景好
济南亿次元传媒有限公司大学,北京,碳中和技术,李教授,导师指导细致，团队合作密切
时空盒数字传媒有限公司大学,北京,可再生能源建筑应用,王教授,实验资源丰富，重视实践能力
盟新传媒有限公司大学,武汉,室内环境控制,赵教授,实验资源丰富，重视实践能力
恩悌信息有限公司大学,北京,绿色建筑设计,张教授,导师指导细致，团队合作密切
数字100科技有限公司大学,哈尔滨,可再生能源建筑应用,陈教授,科研氛围浓厚，适合深入发展
中建创业信息有限公司大学,成都,碳中和技术,郭教授,导师指导细致，团队合作密切
黄石金承传媒有限公司大学,青岛,建筑设备与自动化,冯教授,适合从事建筑节能与智能化研究
诺依曼软件科技有限公司大学,哈尔滨,建筑设备与自动化,王教授,导师指导细致，团队合作密切
晖来计算机网络有限公司大学,上海,热舒适研究,李教授,适合从事建筑节能与智能化研究
菊风公司信息有限公司大学,南京,热舒适研究,廖教授,实验资源丰富，重视实践能力
立信电子网络有限公司大学,青岛,智能控制,李教授,课题方向契合国家战略，发展前景好
新格林耐特传媒有限公司大学,上海,热舒适研究,林教授,导师指导细致，团队合作密切
